cargo_Analista,cargo_Diretor,cargo_Fundador,cargo_Gerente,cargo_Programador,idade,salario,bonus,sócio
0,1,0,0,0,0.5555555555555556,0.6073592102310972,0.3333333333333333,1
1,0,0,0,0,0.04444444444444445,0.15862687906663675,0.037037037037037035,0
0,0,0,0,1,0.22222222222222227,0.40529878094383365,0.0,0
0,0,0,1,0,0.08888888888888885,0.35775185102086604,0.22962962962962963,0
0,0,0,1,0,0.22222222222222227,0.9158626879066637,0.18518518518518517,1
0,0,0,0,1,0.04444444444444445,0.08290329818263405,0.037037037037037035,0
1,0,0,0,0,0.0,0.40529878094383365,0.007407407407407411,0
0,1,0,0,0,0.6666666666666667,0.43908458604442446,0.25925925925925924,1
0,0,1,0,0,1.0,1.0,1.0,1
1,0,0,0,0,0.26666666666666666,0.1389948395781916,0.1111111111111111,0
0,0,0,0,1,0.3333333333333333,0.0,0.22962962962962963,0
0,0,0,0,1,0.17777777777777776,0.06046668162441103,0.04444444444444444,0
0,0,1,0,0,0.17777777777777776,0.7756338344177698,0.4074074074074074,1
0,0,0,0,1,0.22222222222222227,0.3269015032533094,0.3333333333333333,1
